Image,ID,Original,Manual,AI,Status
005_01_2,word_1_10_1_10_12,prifonniers,prifonniers,prisonniers,FALSE_POSITIVE
005_01_2,word_1_10_1_10_15,réuf,réuf,réus-,FALSE_POSITIVE
005_01_2,word_1_10_1_11_7,del,del,des,FALSE_POSITIVE
005_01_2,word_1_10_1_11_8,Prothens,Prothens,Prussiens,FALSE_POSITIVE
005_01_2,word_1_10_1_11_11,furant,furant,furent,FALSE_POSITIVE
005_01_2,word_1_10_1_11_18,pofition,pofition,position,FALSE_POSITIVE
005_01_2,word_1_10_1_12_6,spil,spil,14,FALSE_POSITIVE
005_01_2,word_1_10_1_12_16,fuit,fuit,suit,FALSE_POSITIVE
005_01_2,word_1_10_1_12_18,et,et,est,FALSE_POSITIVE
005_01_2,word_1_10_1_12_21,Fran,Fran,Fran-,FALSE_POSITIVE
005_01_2,word_1_10_2_0_16,Ralbic,Ralbic,Rosbac,FALSE_POSITIVE
005_01_2,word_1_10_2_1_6,fept,fept,sept,FALSE_POSITIVE
005_01_2,word_1_10_2_1_7,jurs,jurs,jours,FALSE_POSITIVE
005_01_2,word_1_10_2_1_14,foif,foif,soif,FALSE_POSITIVE
005_01_2,word_1_10_2_1_17,dent,dent,dont,FALSE_POSITIVE
005_01_2,word_1_10_2_1_18,lo,lo,la,FALSE_POSITIVE
005_01_2,word_1_10_2_2_2,Pruffe,Pruffe,Prusse,FALSE_POSITIVE
005_01_2,word_1_10_3_0_9,polition,polition,position,FALSE_POSITIVE
005_01_2,word_1_10_3_0_10,fuivante,fuivante,suivante,FALSE_POSITIVE
005_01_2,word_1_10_3_0_17,Mar,Mar,Mar-,FALSE_POSITIVE
005_01_2,word_1_10_3_1_10,laille,laille,laisse,FALSE_POSITIVE
005_01_2,word_1_10_3_2_1,divifions,divifions,divisions,FALSE_POSITIVE
005_01_2,word_1_10_3_2_3,Leipfick,Leipfick,Leipsick,FALSE_POSITIVE
005_01_2,word_1_10_3_2_6,Hale,Hale,Halle,FALSE_POSITIVE
005_01_2,word_1_10_4_0_5,Corva,Corva,Corvo,FALSE_POSITIVE
005_01_2,word_1_10_4_0_7,veri,veri,vers,FALSE_POSITIVE
005_01_2,word_1_10_4_1_2,pollé,pollé,posté,FALSE_POSITIVE
005_01_2,word_1_10_4_1_11,occupait,occupait,occupoit,FALSE_POSITIVE
005_01_2,word_1_10_4_2_1,Keda,Keda,Roda,FALSE_POSITIVE
005_01_2,word_1_10_5_0_10,sten,sten,s'en,FALSE_POSITIVE
005_01_2,word_1_10_5_0_14,",",",",.,FALSE_POSITIVE
005_01_2,word_1_10_5_1_5,ult,ult,oult,FALSE_POSITIVE
005_01_2,word_1_10_5_1_13,pofter,pofter,poster,FALSE_POSITIVE
005_01_2,word_1_10_5_1_17,vien,vien,vien-,FALSE_POSITIVE
005_01_2,word_1_10_5_2_0,ntat,ntat,nent,FALSE_POSITIVE
005_01_2,word_1_10_5_2_5,jena,jena,Jena,FALSE_POSITIVE
005_01_2,word_1_10_5_2_6,er,er,et,FALSE_POSITIVE
005_01_2,word_1_10_5_2_8,Naubourg,Naubourg,Naumbourg,FALSE_POSITIVE
005_01_2,word_1_10_6_0_5,polition,polition,position,FALSE_POSITIVE
005_01_2,word_1_10_6_0_6,fuivante,fuivante,suivante,FALSE_POSITIVE
005_01_2,word_1_10_6_0_11,Pruffer,Pruffer,Prusse,FALSE_POSITIVE
005_01_2,word_1_11_0_0_0,agic,agic,à agir,FALSE_POSITIVE
005_01_2,word_1_12_0_0_15,Wurtsbourgis,Wurtsbourgis,"Wurtsbourg,",FALSE_POSITIVE
005_01_2,word_1_12_0_1_2,alle,alle,aile,FALSE_POSITIVE
005_01_2,word_1_12_0_1_5,bamberg,bamberg,Bamberg,FALSE_POSITIVE
005_01_2,word_1_12_0_1_9,divifions,divifions,divisions,FALSE_POSITIVE
005_01_2,word_1_12_0_1_15,planems,planems,plan en,FALSE_POSITIVE
005_01_2,word_1_12_0_2_4,franç,franç,françai,FALSE_POSITIVE
005_01_2,word_1_12_0_2_5,ile,ile,se,FALSE_POSITIVE
005_01_2,word_1_12_3_1_12,fembloient,fembloient,sembloient,FALSE_POSITIVE
005_01_2,word_1_12_3_3_7,paffage,paffage,passage,FALSE_POSITIVE
005_01_2,word_1_12_3_4_4,réfitando,réfitando,résistance,FALSE_POSITIVE
005_01_2,word_1_12_3_5_12,Davouft,Davouft,Davoust,FALSE_POSITIVE
005_01_2,word_1_12_3_6_0,deure,deure,ordre,FALSE_POSITIVE
005_01_2,word_1_12_3_8_0,fanc,fanc,flanc,FALSE_POSITIVE
005_01_2,word_1_12_3_10_1,raffembla,raffembla,rassembla,FALSE_POSITIVE
005_01_2,word_1_12_3_12_2,vidne,vidne,vient,FALSE_POSITIVE
005_01_2,word_1_12_4_0_7,marchetent,marchetent,marcherent,FALSE_POSITIVE
005_01_2,word_1_12_4_1_3,fuivant,fuivant,suivant,FALSE_POSITIVE
005_01_2,word_1_12_4_2_2,impétueules,impétueules,impétueuses,FALSE_POSITIVE
005_01_2,word_1_12_4_2_3,dei,dei,de,FALSE_POSITIVE
005_01_2,word_1_12_4_3_3,",",",",.,FALSE_POSITIVE
005_01_2,word_1_12_4_3_11,fed,fed,feu,FALSE_POSITIVE
005_01_2,word_1_12_4_4_0,dévint,dévint,devint,FALSE_POSITIVE
005_01_2,word_1_12_4_4_2,bruids,bruids,bruy-,FALSE_POSITIVE
005_01_2,word_1_12_4_5_1,Te,Te,se,FALSE_POSITIVE
005_01_2,word_1_12_4_6_0,Ique,Ique,ique,FALSE_POSITIVE
005_01_2,word_1_12_4_6_7,pofition,pofition,position,FALSE_POSITIVE
005_01_2,word_1_12_4_6_15,délégerent,délégerent,délogèrent,FALSE_POSITIVE
005_01_2,word_1_12_4_7_0,e,e,et,FALSE_POSITIVE
005_01_2,word_1_12_4_8_5,dana,dana,dans,FALSE_POSITIVE
005_01_2,word_1_12_4_8_8,ont,ont,.,FALSE_POSITIVE
005_01_2,word_1_12_5_0_5,e,e,où,FALSE_POSITIVE
005_01_2,word_1_12_5_0_10,differ,differ,disperser,FALSE_POSITIVE
005_01_2,word_1_12_5_0_11,four,four,pour,FALSE_POSITIVE
005_01_2,word_1_12_5_2_2,d'Hoalch,d'Hoalch,d'Hoasen,FALSE_POSITIVE
005_01_2,word_1_12_5_2_5,couv,couv,couvrir,FALSE_POSITIVE
005_01_2,word_1_12_5_3_5,Davenit,Davenit,Davoust,FALSE_POSITIVE
005_01_2,word_1_12_5_3_7,enjempesha,enjempesha,en empêcha,FALSE_POSITIVE
005_01_2,word_1_12_5_4_0,divifious,divifious,divisions,FALSE_POSITIVE
005_01_2,word_1_12_5_5_0,formoleut,formoleut,formoient,FALSE_POSITIVE
005_01_2,word_1_12_5_6_1,homes,homes,hommes,FALSE_POSITIVE
005_01_2,word_1_12_5_6_17,francolle,francolle,francoise,FALSE_POSITIVE
005_01_2,word_1_12_6_0_2,convrit,convrit,couvrit,FALSE_POSITIVE
005_01_2,word_1_12_6_0_15,dissip,dissip,dissipe,FALSE_POSITIVE
005_01_2,word_1_12_6_1_5,difiance,difiance,distance,FALSE_POSITIVE
005_01_2,word_1_12_7_0_0,L'armé,L'armé,L'armée,FALSE_POSITIVE
005_01_2,word_1_12_7_0_1,ennemi,ennemi,ennemie,FALSE_POSITIVE
005_01_2,word_1_12_7_0_3,nombreule,nombreule,nombreuse,FALSE_POSITIVE
005_01_2,word_1_12_7_0_6,offrait,offrait,offroit,FALSE_POSITIVE
005_01_2,word_1_12_7_0_12,cavalarie,cavalarie,cavalerie,FALSE_POSITIVE
005_01_2,word_1_12_7_0_13,",",",",.,FALSE_POSITIVE
005_01_2,word_1_12_7_0_16,maneuvre,maneuvre,manoeuvre,FALSE_POSITIVE
005_01_2,word_1_12_7_1_5,précifion,précifion,précision,FALSE_POSITIVE
005_01_2,word_1_12_7_1_10,vue,vue,vu,FALSE_POSITIVE
005_01_2,word_1_12_7_1_13,für,für,sur,FALSE_POSITIVE
005_01_2,word_1_12_7_2_0,gebche,gebche,gauche,FALSE_POSITIVE
005_01_2,word_1_12_7_2_3,Marrehat,Marrehat,Marechal,FALSE_POSITIVE
005_01_2,word_1_12_7_2_4,Angereau,Angereau,Augereau,FALSE_POSITIVE
005_01_2,word_1_12_7_2_5,eat,eat,eut,FALSE_POSITIVE
005_01_2,word_1_12_7_2_9,repoufler,repoufler,repousser,FALSE_POSITIVE
005_01_2,word_1_12_7_5_0,Faugas,Faugas,canons,FALSE_POSITIVE
005_01_2,word_1_12_7_6_11,fpectacle,fpectacle,spectacle,FALSE_POSITIVE
005_01_2,word_1_12_7_7_0,tare,tare,rare,FALSE_POSITIVE
005_01_2,word_1_12_7_9_6,referve,referve,reserve,FALSE_POSITIVE
005_01_2,word_1_12_7_9_10,pecfonne,pecfonne,personne,FALSE_POSITIVE
005_01_2,word_1_12_7_9_11,Autrefa,Autrefa,outre sa,FALSE_POSITIVE
005_01_2,word_1_12_8_0_2,crife,crife,crise,FALSE_POSITIVE
005_01_2,word_1_12_8_0_3,intereffante,intereffante,interessante,FALSE_POSITIVE
005_01_2,word_1_12_8_0_6,furvint,furvint,survint,FALSE_POSITIVE
005_01_2,word_1_12_8_0_8,divifion,divifion,division,FALSE_POSITIVE
005_01_2,word_1_12_8_0_11,savalarie,savalarie,cavalarie,FALSE_POSITIVE
005_01_2,word_1_12_8_0_12,françaiſe,françaiſe,françoise,FALSE_POSITIVE
005_01_2,word_1_12_8_1_4,referve,referve,reserve,FALSE_POSITIVE
005_01_2,word_1_12_8_1_6,loqui,loqui,celui,FALSE_POSITIVE
005_01_2,word_1_12_8_1_8,abprés,abprés,auprès,FALSE_POSITIVE
005_01_2,word_1_12_8_1_14,forho,forho,force,FALSE_POSITIVE
005_01_2,word_1_12_8_2_0,',',s',FALSE_POSITIVE
005_01_2,word_1_12_8_2_2,alor,alor,alors,FALSE_POSITIVE
005_01_2,word_1_12_8_2_5,fejoignant,fejoignant,se joignant,FALSE_POSITIVE
005_01_2,word_1_12_8_3_1,canemis,canemis,ennemis,FALSE_POSITIVE
005_01_2,word_1_12_8_3_3,decoute,decoute,deroute,FALSE_POSITIVE
005_01_2,word_1_12_8_4_3,raillereut,raillereut,rallierent,FALSE_POSITIVE
005_01_2,word_1_12_8_4_10,défordre,défordre,désordre,FALSE_POSITIVE
005_01_2,word_1_12_8_4_15,Bara,Bara,Berg,FALSE_POSITIVE
005_01_2,word_1_12_8_5_0,fui,fui,qui,FALSE_POSITIVE
005_01_2,word_1_12_8_5_1,des,des,les,FALSE_POSITIVE
005_01_2,word_1_12_8_7_5,grófle,grófle,grosse,FALSE_POSITIVE
005_01_2,word_1_12_8_8_1,batalle,batalle,bataille,FALSE_POSITIVE
005_01_2,word_1_12_8_8_6,prife,prife,prise,FALSE_POSITIVE
005_01_2,word_1_12_8_8_9,ou4000a,ou4000a,ou 4000,FALSE_POSITIVE
005_01_2,word_1_12_8_8_14,",",",",ou,FALSE_POSITIVE
005_01_2,word_1_12_8_8_16,drep,drep,drapeaux,FALSE_POSITIVE
005_01_2,word_1_12_8_9_0,broukjation,broukjation,",",FALSE_POSITIVE
005_01_2,word_1_12_8_11_1,fuppofe,fuppofe,suppose,FALSE_POSITIVE
005_01_2,word_1_12_8_11_3,l'endemi,l'endemi,l'ennemi,FALSE_POSITIVE
005_01_2,word_1_12_8_11_9,tánt,tánt,tant,FALSE_POSITIVE
005_01_2,word_1_12_8_11_14,ze,ze,le,FALSE_POSITIVE
005_01_2,word_1_12_8_11_15,veneral,veneral,General,FALSE_POSITIVE
005_01_2,word_1_12_8_12_0,Kollendorf,Kollendorf,Mollendorf,FALSE_POSITIVE
005_01_2,word_1_12_8_12_6,Pruffe,Pruffe,Prusse,FALSE_POSITIVE
005_01_2,word_1_12_8_12_7,font,font,sont,FALSE_POSITIVE
005_01_2,word_1_12_8_12_8,bleffés,bleffés,blessés,FALSE_POSITIVE
005_01_2,word_1_12_8_13_2,es,es,et,FALSE_POSITIVE
005_01_2,word_1_12_8_13_4,les,les,le,FALSE_POSITIVE
005_01_2,word_1_12_8_13_5,rale,rale,Generale,FALSE_POSITIVE
005_01_2,word_1_12_8_14_0,Ruchil,Ruchil,Ruchel,FALSE_POSITIVE
005_01_2,word_1_12_8_14_1,font,font,sont,FALSE_POSITIVE
005_01_2,word_1_12_8_14_8,to,to,fait,FALSE_POSITIVE
005_01_2,word_1_12_8_15_13,bleffe,bleffe,blesse,FALSE_POSITIVE
005_01_2,word_1_12_8_16_3,d'inveftir,d'inveftir,d'investir,FALSE_POSITIVE
005_01_2,word_1_12_8_16_7,the,the,une,FALSE_POSITIVE
005_01_2,word_1_12_8_16_8,garnifon,garnifon,garnison,FALSE_POSITIVE
005_01_2,word_1_12_8_16_12,ordresideMollendorff,ordresideMollendorff,ordres de Mollendorff,FALSE_POSITIVE
005_01_2,word_1_12_9_0_7,PAmbaffadeur,PAmbaffadeur,l'Ambassadeur,FALSE_POSITIVE
005_01_2,word_1_12_9_0_10,Berlino,Berlino,Berlin,FALSE_POSITIVE
005_01_2,word_1_12_9_0_11,ancon,ancon,annon-,FALSE_POSITIVE
005_01_2,word_1_12_9_2_0,difcanques,difcanques,disent que,FALSE_POSITIVE
005_01_2,word_1_12_9_3_5,fevere,fevere,severe,FALSE_POSITIVE
005_01_2,word_1_12_9_4_0,Prudien,Prudien,Prussiens,FALSE_POSITIVE
005_01_2,word_1_12_9_4_1,i,i,Les,FALSE_POSITIVE
005_01_2,word_1_12_9_4_2,deboli,deboli,details,FALSE_POSITIVE
005_01_2,word_1_12_9_5_2,theasre,theasre,theatre,FALSE_POSITIVE
005_01_2,word_1_12_9_6_2,/,/,l',FALSE_POSITIVE
005_01_2,word_1_12_9_7_0,to,to,suivant,FALSE_POSITIVE
005_01_2,word_1_12_9_8_8,permife,permife,permise,FALSE_POSITIVE
005_01_2,word_1_12_9_9_2,peus,peus,peut,FALSE_POSITIVE
005_01_2,word_1_12_9_9_3,a,a,ainsi,FALSE_POSITIVE
005_01_2,word_1_12_9_9_4,traceptin,traceptin,être,FALSE_POSITIVE
005_01_2,word_1_12_9_10_0,sido,sido,consi-,FALSE_POSITIVE
005_01_2,word_1_12_9_12_3,rvis,rvis,avis,FALSE_POSITIVE
005_01_2,word_1_12_9_13_1,MicoBURG,MicoBURG,18,FALSE_POSITIVE
005_01_2,word_1_12_9_13_2,18,18,Oct.,FALSE_POSITIVE
005_01_2,word_1_12_10_0_15,moit,moit,mois,FALSE_POSITIVE
005_01_2,word_1_12_10_0_19,Weimeni,Weimeni,Weimar,FALSE_POSITIVE
005_01_2,word_1_12_10_0_21,Kafin,Kafin,Kosen,FALSE_POSITIVE
005_01_2,word_1_12_10_0_22,eg,eg,et,FALSE_POSITIVE
005_01_2,word_1_12_10_1_5,Pralienne,Pralienne,Prussienne,FALSE_POSITIVE
005_01_2,word_1_12_10_2_1,Be,Be,de,FALSE_POSITIVE
005_01_2,word_1_12_10_2_2,refervefous,refervefous,reserve sous,FALSE_POSITIVE
005_01_2,word_1_12_10_2_5,Bet,Bet,Eu-,FALSE_POSITIVE
005_01_2,word_1_12_10_3_0,gene,gene,gène,FALSE_POSITIVE
005_01_2,word_1_12_10_3_9,Davouft,Davouft,Davoust,FALSE_POSITIVE
005_01_2,word_1_12_10_3_12,Lanchetide,Lanchetide,Lauchstadt,FALSE_POSITIVE
005_01_2,word_1_12_10_4_1,Hallowee,Hallowee,Halle.,FALSE_POSITIVE
005_01_2,word_1_12_10_5_1,font,font,sont,FALSE_POSITIVE
005_01_2,word_1_12_10_5_6,viiteront,viiteront,visiteront,FALSE_POSITIVE
005_01_2,word_1_12_10_6_1,quiset,quiset,qui est,FALSE_POSITIVE
005_01_2,word_1_12_10_6_2,pleinede,pleinede,pleine de,FALSE_POSITIVE
005_01_2,word_1_12_10_7_2,confufion,confufion,confusion,FALSE_POSITIVE
005_01_2,word_1_12_10_8_2,Beiting,Beiting,Berlin,FALSE_POSITIVE
005_01_2,word_1_12_10_9_7,Fauenfien,Fauenfien,Tauensien,FALSE_POSITIVE
005_01_2,word_1_12_10_9_8,paffe,paffe,passe,FALSE_POSITIVE
005_01_2,word_1_12_10_10_0,on,on,pour,FALSE_POSITIVE
005_01_2,word_1_12_10_10_1,Weimera,Weimera,Weimer.,FALSE_POSITIVE
005_01_2,word_1_12_10_10_2,De,De,Des,FALSE_POSITIVE
005_01_2,word_1_12_10_12_0,vanteaux,vanteaux,vaisseaux,FALSE_POSITIVE
005_01_2,word_1_12_10_12_5,puu,puu,pour,FALSE_POSITIVE
005_01_2,word_1_12_10_13_1,part,part,port.,FALSE_POSITIVE
005_01_2,word_1_14_0_0_5,gentiennent,gentiennent,contiennent,FALSE_POSITIVE
005_01_2,word_1_14_0_0_10,Amfterdam,Amfterdam,Amsterdam,FALSE_POSITIVE
005_01_2,word_1_14_0_0_11,de,de,du,FALSE_POSITIVE
005_01_2,word_1_14_0_1_0,Qobre,Qobre,Octobre,FALSE_POSITIVE
005_01_2,word_1_14_0_1_10,Pruffe,Pruffe,Prusse,FALSE_POSITIVE
005_01_2,word_1_14_0_1_11,eloit,eloit,etoit,FALSE_POSITIVE
005_01_2,word_1_14_0_1_12,fait,fait,"finie,",FALSE_POSITIVE
005_01_2,word_1_14_0_2_3,Bettinyter,Bettinyter,"à Berlin,",FALSE_POSITIVE
005_01_2,word_1_14_0_2_4,dm,dm,et un,FALSE_POSITIVE
005_01_2,word_1_14_0_3_6,Gependant,Gependant,Cependant,FALSE_POSITIVE
005_01_2,word_1_14_0_3_9,el,el,est,FALSE_POSITIVE
005_01_2,word_1_14_0_4_0,contredie,contredie,contredit,FALSE_POSITIVE
005_01_2,word_1_14_0_4_1,reticle,reticle,par l'article,FALSE_POSITIVE
005_01_2,word_1_14_0_4_2,didelfast,didelfast,ci-dessus;,FALSE_POSITIVE
005_01_2,word_1_14_0_5_2,",",",",y,FALSE_POSITIVE
005_01_2,word_1_14_0_5_3,yeris,yeris,verra,FALSE_POSITIVE
005_01_2,word_1_14_0_5_9,i,i,les,FALSE_POSITIVE
005_01_2,word_1_14_0_6_0,privés,privés,arrivés,FALSE_POSITIVE
005_01_2,word_1_14_0_6_2,Halle,Halle,Halle.,FALSE_POSITIVE
005_01_2,word_1_14_0_6_3,",",",",Nous,FALSE_POSITIVE
005_01_2,word_1_14_0_6_4,to,to,avons,FALSE_POSITIVE
005_01_2,word_1_14_0_6_5,have,have,ainsi,FALSE_POSITIVE
005_01_2,word_1_14_0_7_0,Nous,Nous,donné,FALSE_POSITIVE
005_01_2,word_1_14_0_7_1,avons,avons,un,FALSE_POSITIVE
005_01_2,word_1_14_0_7_2,ainui,ainui,état,FALSE_POSITIVE
005_01_2,word_1_14_0_7_3,donné,donné,de,FALSE_POSITIVE
005_01_2,word_1_14_0_7_4,un,un,la,FALSE_POSITIVE
005_01_2,word_1_14_0_7_5,état,état,nouvelle,FALSE_POSITIVE
005_01_2,word_1_14_0_7_6,de,de,guerre,FALSE_POSITIVE
005_01_2,word_1_14_0_7_7,la,la,du,FALSE_POSITIVE
005_01_2,word_1_14_0_7_8,nouvelle,nouvelle,"continent,",FALSE_POSITIVE
005_01_2,word_1_14_0_8_0,guerle,guerle,sous,FALSE_POSITIVE
005_01_2,word_1_14_0_8_1,du,du,un,FALSE_POSITIVE
005_01_2,word_1_14_0_8_2,continent,continent,point,FALSE_POSITIVE
005_01_2,word_1_14_0_8_3,",",",",de,FALSE_POSITIVE
005_01_2,word_1_14_0_8_4,sous,sous,vue,FALSE_POSITIVE
005_01_2,word_1_14_0_8_5,un,un,le,FALSE_POSITIVE
005_01_2,word_1_14_0_8_6,point,point,plus,FALSE_POSITIVE
005_01_2,word_1_14_0_8_7,brea,brea,sinistre;,FALSE_POSITIVE
005_01_2,word_1_14_0_9_0,le,le,celui,FALSE_POSITIVE
005_01_2,word_1_14_0_9_1,plus,plus,dans,FALSE_POSITIVE
005_01_2,word_1_14_0_9_2,finiftre,finiftre,lequel,FALSE_POSITIVE
005_01_2,word_1_14_0_9_3,;,;,les,FALSE_POSITIVE
005_01_2,word_1_14_0_9_4,celui,celui,François,FALSE_POSITIVE
005_01_2,word_1_14_0_9_5,dans,dans,ont,FALSE_POSITIVE
005_01_2,word_1_14_0_9_6,lequel,lequel,bien,FALSE_POSITIVE
005_01_2,word_1_14_0_9_7,les,les,voulu,FALSE_POSITIVE
005_01_2,word_1_14_0_9_8,François,François,le,FALSE_POSITIVE
005_01_2,word_1_14_0_9_9,ont,ont,montrer,FALSE_POSITIVE
005_01_2,word_1_14_0_9_10,bien,bien,à,FALSE_POSITIVE
005_01_2,word_1_14_0_9_11,voulu,voulu,leurs,FALSE_POSITIVE
005_01_2,word_1_14_0_10_0,le,le,pauvres,FALSE_POSITIVE
005_01_2,word_1_14_0_10_1,montrer,montrer,es-,FALSE_POSITIVE
005_01_2,word_1_14_0_10_2,à,à,claves,FALSE_POSITIVE
005_01_2,word_1_14_0_10_3,leurs,leurs,"mécontents,",FALSE_POSITIVE
005_01_2,word_1_14_0_10_4,paupres,paupres,les,FALSE_POSITIVE
005_01_2,word_1_14_0_11_0,ef,ef,Hollandois.,FALSE_POSITIVE
005_01_2,word_1_14_0_12_0,claves,claves,On,FALSE_POSITIVE
005_01_2,word_1_14_0_12_1,mécontents,mécontents,se,FALSE_POSITIVE
005_01_2,word_1_14_0_12_2,",",",",flatte,FALSE_POSITIVE
005_01_2,word_1_14_0_12_3,les,les,qu'il,FALSE_POSITIVE
005_01_2,word_1_14_0_12_4,Hollandois,Hollandois,ne,FALSE_POSITIVE
005_01_2,word_1_14_0_12_5,.,.,se,FALSE_POSITIVE
005_01_2,word_1_14_0_12_6,On,On,trouvera,FALSE_POSITIVE
005_01_2,word_1_14_0_12_7,de,de,pas,FALSE_POSITIVE
005_01_2,word_1_14_0_12_8,flatte,flatte,aussi,FALSE_POSITIVE
005_01_2,word_1_14_0_12_9,gu'il,gu'il,triste,FALSE_POSITIVE
005_01_2,word_1_14_0_12_10,ne,ne,qu'on,FALSE_POSITIVE
005_01_2,word_1_14_0_12_12,trouvera,trouvera,représente,FALSE_POSITIVE
005_01_2,word_1_14_0_13_0,pas,pas,"ici,",FALSE_POSITIVE
005_01_2,word_1_14_0_13_1,aulli,aulli,Nous,FALSE_POSITIVE
005_01_2,word_1_14_0_13_2,trifte,trifte,sommes,FALSE_POSITIVE
005_01_2,word_1_14_0_13_3,qu'on,qu'on,assurés,FALSE_POSITIVE
005_01_2,word_1_14_0_13_4,le,le,d'une,FALSE_POSITIVE
005_01_2,word_1_14_0_14_0,repréfente,repréfente,chose;,FALSE_POSITIVE
005_01_2,word_1_14_0_14_1,ich,ich,si,FALSE_POSITIVE
005_01_2,word_1_14_0_14_2,",",",",le,FALSE_POSITIVE
005_01_2,word_1_14_0_14_3,Nous,Nous,Roi,FALSE_POSITIVE
005_01_2,word_1_14_0_14_4,fommes,fommes,de,FALSE_POSITIVE
005_01_2,word_1_14_0_14_5,aliurés,aliurés,Prusse,FALSE_POSITIVE
005_01_2,word_1_14_0_14_6,d'une,d'une,possede,FALSE_POSITIVE
005_01_2,word_1_14_0_14_7,chole,chole,quelque,FALSE_POSITIVE
005_01_2,word_1_14_0_14_8,si,si,portion,FALSE_POSITIVE
005_01_2,word_1_14_0_14_9,le,le,de,FALSE_POSITIVE
005_01_2,word_1_14_0_14_10,Roi,Roi,cette,FALSE_POSITIVE
005_01_2,word_1_14_0_15_0,de,de,vertu,FALSE_POSITIVE
005_01_2,word_1_14_0_15_1,Pruite,Pruite,et,FALSE_POSITIVE
005_01_2,word_1_14_0_15_2,pojede,pojede,de,FALSE_POSITIVE
005_01_2,word_1_14_0_15_3,quelque,quelque,cette,FALSE_POSITIVE
005_01_2,word_1_14_0_16_0,portion,portion,habileté,FALSE_POSITIVE
005_01_2,word_1_14_0_16_1,de,de,"qui,",FALSE_POSITIVE
005_01_2,word_1_14_0_16_2,cette,cette,dans,FALSE_POSITIVE
005_01_2,word_1_14_0_16_3,vertu,vertu,les,FALSE_POSITIVE
005_01_2,word_1_14_0_16_4,et,et,tems,FALSE_POSITIVE
005_01_2,word_1_14_0_16_5,de,de,"actuels,",FALSE_POSITIVE
005_01_2,word_1_14_0_16_6,cette,cette,peuvent,FALSE_POSITIVE
005_01_2,word_1_14_0_16_7,habileté,habileté,seules,FALSE_POSITIVE
005_01_2,word_1_14_0_16_8,qui,qui,sauver,FALSE_POSITIVE
005_01_2,word_1_14_0_16_9,",",",",les,FALSE_POSITIVE
005_01_2,word_1_14_0_16_10,dans,dans,Souverains,FALSE_POSITIVE
005_01_2,word_1_14_0_16_11,les,les,et,FALSE_POSITIVE
005_01_2,word_1_14_0_16_12,teins,teins,leurs,FALSE_POSITIVE
005_01_2,word_1_14_0_16_13,actuels,actuels,peuples,FALSE_POSITIVE
005_01_2,word_1_14_0_17_0,",",",",du,FALSE_POSITIVE
005_01_2,word_1_14_0_17_1,peuvent,peuvent,plus,FALSE_POSITIVE
005_01_2,word_1_14_0_17_2,feules,feules,bas,FALSE_POSITIVE
005_01_2,word_1_14_0_17_3,Th,Th,degré,FALSE_POSITIVE
005_01_2,word_1_14_0_18_0,ses,ses,"d'avilissement,",FALSE_POSITIVE
005_01_2,word_1_14_0_18_1,:,:,et,FALSE_POSITIVE
005_01_2,word_1_14_0_18_2,Sunverains,Sunverains,de,FALSE_POSITIVE
005_01_2,word_1_14_0_18_3,et,et,la,FALSE_POSITIVE
005_01_2,word_1_14_0_18_9,digié,digié,degré,FALSE_POSITIVE
005_01_2,word_1_14_0_18_10,d'avililement,d'avililement,"d'avilissement,",FALSE_POSITIVE
005_01_2,word_1_14_0_19_4,inrame,inrame,infame,FALSE_POSITIVE
005_01_2,word_1_14_0_20_0,Jes,Jes,les,FALSE_POSITIVE
005_01_2,word_1_14_0_20_1,tyrannies,tyrannies,"tyrannies,",FALSE_POSITIVE
005_01_2,word_1_14_0_21_2,défelpoir,défelpoir,désespoir,FALSE_POSITIVE
005_01_2,word_1_14_0_22_0,fa³fujets,fa³fujets,ses sujets,FALSE_POSITIVE
005_01_2,word_1_14_0_23_2,les,les,ses,FALSE_POSITIVE
005_01_2,word_1_14_0_23_8,poffede,poffede,possede,FALSE_POSITIVE
005_01_2,word_1_14_0_23_9,pa,pa,"pas,",FALSE_POSITIVE
005_01_2,word_1_14_0_23_10,n'auroit,n'auroit,il n'auroit,FALSE_POSITIVE
005_01_2,word_1_14_0_24_4,forcone,forcone,fortune,FALSE_POSITIVE
005_01_2,word_1_14_0_24_6,",",",",la,FALSE_POSITIVE
005_01_2,word_1_14_0_26_0,guerre,guerre,guerre.,FALSE_POSITIVE
005_01_2,word_1_16_0_0_3,Autin,Autin,Austin,FALSE_POSITIVE
005_01_2,word_1_16_0_0_4,Cavillier,Cavillier,Cuvillier,FALSE_POSITIVE
005_01_2,word_1_16_0_0_9,John,John,John Harkness,FALSE_POSITIVE
005_01_2,word_1_16_1_0_3,da,da,on,FALSE_POSITIVE
005_01_2,word_1_16_1_0_7,sonder,sonder,under,FALSE_POSITIVE
005_01_2,word_1_16_1_0_11,Cuviller,Cuviller,Cuvillier,FALSE_POSITIVE
005_01_2,word_1_16_1_1_13,Harkneis,Harkneis,Harkness,FALSE_POSITIVE
005_01_2,word_1_16_1_7_8,refpective,refpective,respective,FALSE_POSITIVE
005_01_2,word_1_16_1_7_10,":,",":,",",",FALSE_POSITIVE
005_01_2,word_1_16_1_8_11,affignment,affignment,assignment,FALSE_POSITIVE
005_01_6,word_1_15_0_1_10,formoon,formoon,forenoon,FALSE_POSITIVE
005_01_6,word_1_15_0_1_21,subasting,subasting,subsisting,FALSE_POSITIVE
